coin_id,first_date
goldblock,2020-03-10T00:00:00+00:00
arth,2021-01-18T00:00:00+00:00
interest-bearing-dpi,2021-04-05T00:00:00+00:00
dexa-coin,2019-10-18T00:00:00+00:00
californium,2018-03-28T00:00:00+00:00
able,2018-08-26T00:00:00+00:00
intelligent-investment-chain,2018-05-25T00:00:00+00:00
marginswap,2021-02-08T00:00:00+00:00
astro,2017-12-27T00:00:00+00:00
shibaken-finance,2021-05-11T00:00:00+00:00
nebulas,2018-01-16T00:00:00+00:00
truegbp,2020-10-07T00:00:00+00:00
lbrl,2020-07-10T00:00:00+00:00
zrcoin,2017-06-18T00:00:00+00:00
defit,2021-04-07T00:00:00+00:00
hxro,2019-02-22T00:00:00+00:00
hoqu,2018-03-23T00:00:00+00:00
monkey-king-token,2020-08-30T00:00:00+00:00
dxdao,2020-05-21T00:00:00+00:00
shiba-moon,2021-05-12T00:00:00+00:00
sharkcoin,2020-10-19T00:00:00+00:00
qobit,2019-05-29T00:00:00+00:00
steem-dollars,2016-07-18T00:00:00+00:00
akash-network,2020-10-16T00:00:00+00:00
usdp,2020-11-28T00:00:00+00:00
community-chain,2018-11-21T00:00:00+00:00
hithotx,2020-12-08T00:00:00+00:00
zhegic,2020-11-09T00:00:00+00:00
aave-link,2021-03-12T00:00:00+00:00
1x-short-defi-index-token,2020-08-11T00:00:00+00:00
hypeburn,2020-11-21T00:00:00+00:00
exnce,2019-10-12T00:00:00+00:00
keyco,2018-07-10T00:00:00+00:00
yfpro-finance,2020-10-06T00:00:00+00:00
smoothy,2021-04-27T00:00:00+00:00
pylon-finance,2020-09-01T00:00:00+00:00
ubricoin,2019-05-15T00:00:00+00:00
sowing-network,2021-02-09T00:00:00+00:00
gatcoin,2018-01-23T00:00:00+00:00
sharder-protocol,2018-05-04T00:00:00+00:00
golden-goose,2021-01-19T00:00:00+00:00
skinchain,2020-03-30T00:00:00+00:00
webchain,2018-07-31T00:00:00+00:00
koel-coin,2020-10-15T00:00:00+00:00
securus,2020-01-04T00:00:00+00:00
yefam-finance,2020-09-04T00:00:00+00:00
shardingdao,2021-04-07T00:00:00+00:00
profile-utility-token,2018-01-26T00:00:00+00:00
kimex,2019-04-02T00:00:00+00:00
dipper-network,2020-08-28T00:00:00+00:00
rakon,2019-07-04T00:00:00+00:00
opennity,2019-08-24T00:00:00+00:00
jfin-coin,2020-12-15T00:00:00+00:00
bitconnect,2017-01-20T00:00:00+00:00
unitus,2015-01-12T00:00:00+00:00
any-blocknet,2021-04-19T00:00:00+00:00
everus,2017-10-28T00:00:00+00:00
bitcoinmono,2019-09-13T00:00:00+00:00
sparks,2018-01-24T00:00:00+00:00
bitto-exchange,2018-10-10T00:00:00+00:00
qusd-stablecoin,2020-12-23T00:00:00+00:00
ishop-plus,2020-02-28T00:00:00+00:00
passport-finance,2020-10-27T00:00:00+00:00
mykonos-coin,2021-02-15T00:00:00+00:00
bittwatt,2018-06-29T00:00:00+00:00
share-2,2021-03-24T00:00:00+00:00
nuclum,2020-04-22T00:00:00+00:00
standard-protocol,2021-04-29T00:00:00+00:00
qmcoin,2018-10-12T00:00:00+00:00
gazetv,2021-04-09T00:00:00+00:00
smart-application-chain,2018-08-19T00:00:00+00:00
idextools,2020-06-10T00:00:00+00:00
zyro,2020-09-13T00:00:00+00:00
true-usd,2018-03-23T00:00:00+00:00
netkoin,2018-07-31T00:00:00+00:00
chainsquare,2021-04-19T00:00:00+00:00
etherzero,2018-04-06T00:00:00+00:00
altbet,2018-10-31T00:00:00+00:00
starbugs-shards,2020-10-26T00:00:00+00:00
aicon,2020-10-22T00:00:00+00:00
polkadex,2021-04-16T00:00:00+00:00
pathfund,2021-05-21T23:37:46+00:00
narwhale,2021-03-01T00:00:00+00:00
attila,2020-05-20T00:00:00+00:00
intelligence-quickly-chain,2020-06-10T00:00:00+00:00
gochain,2018-06-15T00:00:00+00:00
agrinovuscoin,2019-06-13T00:00:00+00:00
armor,2021-01-23T00:00:00+00:00
4new,2018-08-26T00:00:00+00:00
yam-2,2020-09-19T00:00:00+00:00
trust,2020-07-30T00:00:00+00:00
veritaseum,2017-06-18T00:00:00+00:00
mute,2021-03-11T00:00:00+00:00
bitonyx-token,2021-01-17T00:00:00+00:00
halo-platform,2019-01-24T00:00:00+00:00
shardus,2019-05-16T00:00:00+00:00
fractal,2021-02-25T00:00:00+00:00
genesis-token,2018-12-07T00:00:00+00:00
zeroswap,2020-10-19T00:00:00+00:00
paid-network,2021-01-26T00:00:00+00:00
3x-short-tomochain-token,2019-12-17T00:00:00+00:00
biokkoin,2020-11-16T00:00:00+00:00
frasindo-rent,2019-01-30T00:00:00+00:00
wrapped-nxm,2020-07-27T00:00:00+00:00
liquity,2021-04-05T00:00:00+00:00
hot-doge,2021-05-11T00:00:00+00:00
kiloample,2020-12-23T00:00:00+00:00
solarite,2020-09-11T00:00:00+00:00
oneeth,2021-04-29T00:00:00+00:00
